S. No;Quotation;Author
826;man who lives under his own supervision, alone in the whole world,;Søren Kierkegaard,
827;Compel a person to an opinion, a conviction, a belief - in all eternity, that I cannot do. But one thing I can do: I can compel him to become aware.;Søren Kierkegaard
828;The Bible is very easy to understand. But we Christians are a bunch of scheming swindlers. We pretend to be unable to understand it because we know very well that the minute we understand, we are obliged to act accordingly. — Søren Kierkegaard   * * * Quotation 10 — The greatest hazard of all, losing one’s self, can occur very quietly in the world, as if it were nothing at all. No;Søren Kierkegaard,
829;Even if the words were terrible, even though it were a Shakespeare, a Byron, or a Shelley who broke the silence,20 the word always retains its redeeming power, because all despair and all the horror of evil expressed in one word are not as awful as silence.;Søren Kierkegaard,
830;What Christendom needs at every moment is someone who expresses Christianity uncalculatingly or with absolute recklessness.;Søren Kierkegaard
831;"A choice that is not used is worse than nothing; it is a snare in which a person has trapped himself as a slave who did not become free";Soren Kierkeggard
832;"Although I am still far from this kind of interior understanding of myself, with profound respect for its significance I have sought to preserve my individuality―worshipped the unknown God. With a premature anxiety I have tried to avoid coming in close contact with those things whose force of attraction might be too powerful for me. I have sought to appropriate much from them, studied their distinctive characteristics and meaning in human life, but at the same time guarded against coming, like the moth, too close to the flame. I have had little to win or to lose in association with the ordinary run of men, partly because what they do―so-called practical life―does not interest me much, partly because their coldness and indifference to the spiritual and deeper currents in man alienate me even more from them. With few exceptions my companions have had no special influence upon me. A life that has not arrived at clarity about itself must necessarily exhibit an uneven side-surface; confronted by certain facts [*Facta*] and their apparent disharmony, they simply halted there, for, as I see it, they did not have sufficient interest to seek a resolution in a higher harmony or to recognize the necessity of it. Their opinion of me was always one-sided, and I have vacillated between putting too much or too little weight on what they said. I have now withdrawn from their influence and the potential variations of my life's compass resulting from it. Thus I am again standing at the point where I must begin again in another way. I shall now calmly attempt to look at myself and begin to initiate inner action; for only thus will I be able, like a child calling itself ""I"" in its first consciously undertaken act, be able to call myself ""I"" in a profounder sense.But that takes stamina, and it is not possible to harvest immediately what one has sown. I will remember that philosopher's method of having his disciples keep silent for three years; then I dare say it will come. Just as one does not begin a feast at sunrise but at sundown, just so in the spiritual world one must first work forward for some time before the sun really shines for us and rises in all its glory; for although it is true as it says that God lets his sun shine upon the good and the evil and lets the rain fall on the just and the unjust, it is not so in the spiritual world. So let the die be cast―I am crossing the Rubicon! No doubt this road takes me into battle, but I will not renounce it. I will not lament the past―why lament? I will work energetically and not waste time in regrets, like the person stuck in a bog and first calculating how far he has sunk without recognizing that during the time he spends on that he is sinking still deeper. I will hurry along the path I have found and shout to everyone I meet: Do not look back as Lot's wife did, but remember that we are struggling up a hill.""―from_Journals_, (The Search for Personal Meaning)";Søren Kierkegaard
833;"This is quite as clear to the knight of faith, so the only thing that can save him is the absurd, and this he grasps by faith. So he recognizes the impossibility, and that very instant he believes the absurd ; for, if without recognizing the impossibility with all the passion of his soul and with all his heart, he should wish to imagine that he has faith, he deceives himself, and his testimony has no bearing, since he has not even reached the infinite resignation. Faith therefore is not an aesthetic emotion but something far higher, precisely because it has resignation as its presupposition ; it is not an immediate instinct of the heart, but is the paradox of life and existence.";Søren Kierkegaard,
834;"Confess your love, you will regret it, confess it not, you will also regret that; confessing your love or not confessing your love, you will regret both; whether you confess your love or not confess your love, you will regret both.";Søren Kierkegaard (modified)
835;"A necessidade de solidão revela sempre a nossa espiritualidade, e serve para dar a sua medida. ""Essa espécie estouvada de homens, que o não são, esse rebanho de inseparáveis"" sentem-no tão pouco que, como os periquitos, morrem, mal se veem sozinhos; como a criancinha que não adormece sem uma canção, é-lhes necessário, para comer, beber, dormir, orar e apaixonar-se, etc, o trauteio tranquilizador da sociabilidade. Mas nem a Antiguidade nem a Idade Média desprezavam essa necessidade de solidão, respeitava-se o que ela significava. A nossa época, com a sua sempiterna sociabilidade, treme de tal modo ante a solidão, que não sabemos (que epigrama!) servir-nos dela senão contra os criminosos. É certo que, nos nossos dias, é um crime dedicar-se ao espírito, e nada tem de extraordinário, portanto, que os amantes da solidão sejam postos ao lado dos criminosos.";Søren Kierkegaard,
836;If he is not supposed to be that, then he is a hypocrite, and the higher he climbs on this path, the more dreadful a hypocrite he is.;Søren Kierkegaard,
837;даже в ѿвоей любви к другому человеку важно быть доѿтаточным длѿ ѿебѿ ѿамого.;Søren Kierkegaard,
838;…when the ambitious man whose slogan is Either Caesar or nothing does not get to be Caesar, he despairs over it. But this also means something else: precisely because he did not get to be Caesar, he now cannot bear to be himself.;Søren Kierkegaard
839;"There are two ways to be fooled. One is to believe what isn’t true; the other is to refuse to believe what is true.";Soren Kierkeggard
840;"There was one who was great in his strength, and one who was great in his wisdom, and one who was great in hope, and one who was great in love;";Søren Kierkegaard,
841;"Despairing narrowness consists in the lack of primitiveness, or of the fact one has deprived oneself of one’s primitiveness; it consists in having emasculated oneself, in a spiritual sense. For every man is primitively planned to be a self, appointed to become oneself; and while it is true that every self as such is angular, the logical consequence of this merely is that it has to be polished, not that it has to be ground smooth, not that for fear of men it has to give up entirely being itself, nor even that for fear of men it dare not be itself in its essential accidentality (which precisely is what should not be ground away), by which in fine it is itself. But while one sort of despair plunges wildly into the infinite and loses itself, a second sort permits itself as it were to be defrauded by the others. By seeing the multitude of men about it, by getting engaged in all sorts of worldly affairs, by becoming wise about how things go in this world, such a man forgets himself, forgets what his name is (in the divine understanding of it), does not dare to believe in himself, finds it too venturesome a thing to be himself, far easier and safer to be like the others, to become an imitation, a number, a cipher in the crowd.";Søren Kierkegaard,
842;The one who in mortal danger forgets himself and lets the other have the only life-saving plank, that one loves much. So also the one who at the moment when everything in his inner being and everything around him not only reminds him of himself but wants to compel him against his will to think about himself--if he nevertheless forgets himself, that one loves much, just as [the Sinful Woman] did.;Søren Kierkegaard,
843;But still he must have recourse to the paradox. For when the individual by his guilt has gone outside the universal he can return to it only by virtue of having come as the individual into an absolute relationship with the absolute.;Søren Kierkegaard,
844;Skal man hjelpe en annen, må man først finne ut hvor han er, og møte ham der. Dette er det første bud i all sann hjelpekunst.;Søren Kierkegaard
845;Érase cierta vez un hombre que en su infancia había oído contar la hermosa historia de cómo Dios quiso probar a Abraham, y cómo éste soportó la prueba, conservó la fe y, contra esperanza, recuperó de nuevo a su hijo. Siendo ya un hombre maduro volvió a leer aquella historia y le admiró todavía más, porque la vida había separado lo que se había presentado unido a la piadosa ingenuidad del niño. Y sucedió que cuanto más viejo se iba haciendo, tanto más frecuentemente volvía su pensamiento a este relato: su entusiasmo crecía más y más, aunque, a decir verdad, cada vez lo entendía menos.;Søren Kierkegaard,
846;loved. For he who loved himself became great by himself, and he who loved other men became great by his selfless devotion, but he who loved God became greater than all.;Søren Kierkegaard,
847;No me gustan las jóvenes que se consideran interesantes, pues sólo se llega a serlo tras un estudio de uno mismo, igual que en lo interesante se exhibe siempre la persona del artista. Una señora que pretenda gustar por ser interesante, ha de comenzar por agradarse a sí misma. Esto no es bonito: constituye una de las desventajas que la estética puede reprochar a la coquetería;Søren Kierkegaard,
848;So the merman cannot belong to Agnes unless, after having made the infinite movement, the movement of repentance, he makes still one more movement by virtue of the absurd.;Søren Kierkegaard,
849;Deep within every human being there still lives the anxiety over the possibility of being alone in the world, forgotten by God, overlooked among the millions and millions in this enormous household. A person keeps this anxiety at distance by looking at the many round about who are related to him as kin as friends, but the anxiety is still there.;Søren Kierkegaard
850;The philistine tranquillises himself with the trivial.;Søren Kierkegaard
851;"Yet in another and still more definite sense despair is the sickness unto death. It is indeed very far from being true that, literally understood, one dies of this sickness, or that this sickness ends with bodily death. On the contrary, the torment of despair is precisely this, not to be able to die So it has much in common with the situation of the moribund when he lies and struggles with death, and cannot die. So to be sick unto death is, not to be able to die -- yet not as though there were hope of life; no the hopelessness in this case is that even the last hope, death, is not available. When death is the greatest danger, one hopes for life; but when one becomes acquainted with an even more dreadful danger, one hopes for death. So when the danger is so great that death has become one’s hope, despair is the disconsolateness of not being able to die.";Søren Kierkegaard
852;But, but, but here lies the difficulty. Precisely what the New Testament understands by Christianity and by being a Christian is-and this the New Testament makes no effort to conceal but emphasizes decisively-what most of all is repugnant to the natural man, is an offense to him, against which with wild passion and defiance he must revolt, or else cunningly try at any price to be rid of it, as for example by the help of a knavish trick, calling Christianity what is the exact opposite of Christianity, and then thanking God for Christianity and for the great and inestimable privilege of being a Christian. Attack On Christendom pp 150-3;Søren Kierkegaard
853;Only the Eternal is always appropriate and always present, is always true. Only the Eternal applies to each human being,;Søren Kierkegaard,
854;"Ja savršeno nisam ni za šta. Ne mogu da jašem konja, on se suviše oštro kreće; ne mogu da hodam, to je prenaporno; ne mogu da legnem, jer bih morao ostati da ležim, a to ne mogu, ili bih morao opet ustati, a ni to ne mogu. Summa summarum: ja savršeno nisam ni za šta.";Søren Kierkegaard, Either/Or
855;As the Good itself is only one thing, so it alone wishes to be what helps us along. But the Good is not something external to us, like a slave who comes against his will when the master uses the whip. The place and the path are within each of us. And just as the place is the blessed state of the striving soul, so the path is the striving soul's continual transformation.;Søren Kierkegaard,
856;This sectarianism is an attempt to leap away from the narrow path of the paradox and become a tragic hero at a cheap price. The tragic hero expresses the universal and sacrifices himself for it. The sectarian punchinello, instead of that, has a private theatre, i.e. several good friends and comrades who represent the universal;Søren Kierkegaard,
857;There are handbooks for everything, and very soon education, all the world over, will consist in learning a greater or lesser number of comments by heart, and people will excel according to their capacity for singling out the various facts like a printer singling out the letters, but completely ignorant of the meaning of anything.;Søren Kierkegaard,
858;"So despair, then, and your frivolity shall never more cause you to roam like an inconstant spirit, like a ghost among the ruins of a world which is yet lost to you; despair, and your spirit shall become beautiful and joyous to you once more, though you now look at it with different eyes, and your spirit, now liberated, shall vault up into the world of freedom.";Søren Kierkegaard,
859;"Con frecuencia se me ocurrió pensar en la razón de que sean tan perjudiciales las relaciones demasiado frecuentes entre muchachas; y me parece que esa razón está en que tales relaciones llegan a destruir la ilusión, sin que la expliquen. El más hondo destino de la mujer es ser compañera del hombre: en cambio, si se acostumbra a estar demasiado tiempo con personas del mismo sexo, se convierte en dama de compañía.Si tuviese que imaginarme a la doncella ideal, la colocaría siempre sola en el mundo: ante todo, no debería tener amigas.Es cierto que las Gracias fueron tres, pero jamás se las pinta hablando entre sí; constituyen una trinidad silenciosa, una hermosa unidad femenina.";Søren Kierkegaard,
860;But a sad fatality hung over this young girl. She had been given to seven husbands, all of whom had perished in the bride-chamber.;Søren Kierkegaard,
861;My depression is the most faithful mistress I have known — no wonder, then, that I return the love.;Søren Kierkegaard,
862;it is a sign of a magnanimous man of profound soul that he is disposed to repent, that he does not go to law with God but repents and loves God in his repentance. Without that his life is nothing, merely like foam on water.;Søren Kierkegaard, Either/Or, Part I
863;The proud person always wants to do the right thing, the great thing. But because he wants to do it in his own strength, he is fighting not with man, but with God. — Søren Kierkegaard;Søren Kierkegaard,
864;"Jeg kommer netop nu fra et Selskab, hvor jeg var Sjælen; Vittigheder strømmede ud fra min Mund, alle loe, beundrede mig - men jeg gik, ja den Tankestreg bør være ligesaa lang som Jordbanens Radier ------------------------------- hen og ville skyde mig selv.";Søren Kierkegaard
865;None has more contempt for what it is to be a man than they who make it their profession to lead the crowd.;Søren Kierkegaard,
866;"la fe […] es lo más grande que se pueda poseer; por eso al filosofía comete un fraude cuando nos ofrece otra cosa a cambio y habla despectivamente de la fe. La filosofía no puede ni debe darnos la fe, sino que debe comprenderse a sí misma, saber lo que está en grado de ofrecer, no ocultar nada y mucho menos birlarnos una cosa determinada, considerándola una nadería";Søren Kierkegaard,
867;La fe […] comienza con los movimientos del infinito, y sólo más tarde pasa a los de lo infinito.;Søren Kierkegaard,
868;veed Du da ikke, at der kommer en Midnatstime, hvor Enhver skal demaskere sig, troer Du, at Livet altid lader sig spøge med, troer Du, at man kan liste bort lidt før Midnat for at undgaae det?;Kierkegaard, Enten – Eller
869;A man can wish to slink away from many things in life, and he may even succeed, so that life’s favored one can say in the last moment, I slipped away from all the cares under which other men suffered. But if such a person wishes to bluster out of, to defy, or to slink away from remorse, alas, which is indeed the most terrible to say of him, that he failed, or — that he succeeded?;Søren Kierkegaard,
870;"Una muchacha, en ciertos aspectos, no se desarrolla igual que un muchacho: no crece, sino que nace ya hecha. El muchacho inicia en seguida su desarrollo y necesita largo tiempo para cumplirlo; la muchacha tiene un nacimiento largo, pero nace ya hecha. En esto reside su infinita riqueza; en el momento en que nace, ya ha crecido pero ese instante de nacer tan sólo llega tarde. Por ese motivo nace dos veces; la segunda, cuando se casa o, mejor dicho, en ese momento acaba de nacer y tan sólo en ese instante ha nacido por completo. Así, no sólo a Minerva le fue concedido salir perfecta de la frente de Júpiter, no sólo a Venus se le permitió alzarse del mar en plenitud de sus gracias, sino que del mismo modo lo mismo le ocurre a toda muchacha cuya femineidad no haya echado a perder eso que se da en llamar educación. Se despiertan de una sola vez, no por grados; y, en cambio, sueña mucho más tiempo, si es que los hombres no se muestran irrazonables y no la despiertan demasiado pronto. Tal estado de ensueño, para una muchacha, es una riqueza infinita.";Søren Kierkegaard,
871;Love from the soul is a continuation in time, sensual love a disappearance in time (pp 101);Søren Kierkegaard,
872;Det gäller att finna en sanning, som är sanning för mig, att finna en idé för vilken jag vill leva och dö.;Soren Kierkegaard
873;"How far removed in time must an event be for us to remember it? How far for memory's longing to be no longer able to seize it? Most people have a limit in this respect: what lies too near them in time they cannot remember, nor what lies too remote. I know no limit. What was experienced yesterday, I push back a thousand years in time, and remember as if it were yesterday.""―Johannes de Silentio, from_Either/Or_";Søren Kierkegaard
874;he who loves God without faith reflects upon himself he who loves God believingly reflects upon God.;Søren Kierkegaard,
875;And the desire to prevent all misunderstanding about an enterprise one is about to undertake is a thing that could occur only to a youth. There is nothing that so easily gets beyond one's control and so easily becomes misunderstood, as a misunderstanding. Even if one were to undertake nothing more than merely to avoid misunderstanding – then in that case one would presumably become the most thoroughly misunderstood of all men.;Søren Kierkegaard,
876;The glorious memory to be preserved by the human race, the promise in Abraham’s seed – this was only a whim, a fleeting thought which the Lord had had, which Abraham should now obliterate. That glorious treasure which was just as old as faith in Abraham’s heart, many, many years older than Isaac, the fruit of Abraham’s life, sanctified by prayers, matured in conflict – the blessing upon Abraham’s lips, this fruit was now to be plucked prematurely and remain without significance.;Søren Kierkegaard,
877;"She awakens first at the touch of love; before that time she is a dream, yet in her dream life we can distinguish two stages: in the first, love dreams about her; in the second, she dreams about love.";Søren Kierkegaard,
878;People who do not know how to remain silent, do not know how to talk.;Søren Kierkegaard,
879;It doesn't appeal to experience, which of all laughable things is perhaps the most laughable and, far from making a man wise, if he knows nothing higher it will soon make him mad.;Søren Kierkegaard
880;"To live in the unconditional, inhaling only the unconditional, is impossible to man; he perishes lioke the fish forced to live in the air. But on the other hand, without relating himself to the unconditional, man cannot in the deepest sense be said to 'live'.";Søren Kierkegaard,
881;What is the Absurd? It is, as may quite easily be seen, that I, a rational being, must act in a case where my reason, my powers of reflection, tell me: you can just as well do the one thing as the other, that is to say where my reason and reflection say: you cannot act and yet here is where I have to act... The Absurd, or to act by virtue of the absurd, is to act upon faith ... I must act, but reflection has closed the road so I take one of the possibilities and say: This is what I do, I cannot do otherwise because I am brought to a standstill by my powers of reflection.;Søren Kierkegaard
882;Abraham was greater than all, great by reason of his power whose strength is impotence, great by reason of his wisdom whose secret is foolishness, great by reason of his hope whose form is madness, great by reason of the love which is hatred of oneself.;Søren Kierkegaard,
883;Aber Existieren ist etwas ganz anderes als Wissen.;Søren Kierkegaard,
884;La alternativa que se nos presenta es la siguiente: o bien corremos un velo sobre la historia de Abraham, o bien aprendemos a espantarnos ante la inaudita paradoja que da sentido a su vida,;Søren Kierkegaard,
885;But you may be sure that for this faith in the victory of the beautiful I will engage in mortal combat, and nothing in the world can wrest it from me. Even if one wished to wrest if from me through prayer, to snatch it from me by force, not for anything in the world would I let myself be deprived f it, for if I lost that faith I would lose the whole world. Through this faith I see the beauty of life, and the beauty I see does not have the sadness and melancholy that are inseparable from all beauty in nature and art, inseparable even from the eternal youth of the Greek gods. The beauty I see is joyful and triumphant, and stronger than all the world. And this beauty I see everywhere, even where your eye sees nothing.;Søren Kierkegaard, Either/Or, Part I
886;"I see it all perfectly; there are two possible situations - one can either do this or that. My honest opinion and my friendly advice is this: do it or do not do it - you will regret both.";Søren Kierkegaard
887;"пичего не хочетѿѿ... Ехать не хочетѿѿ — ѿлишком ѿильное движение: пешком идти не хочетѿѿ — уѿтанешь; лечь? — придетѿѿ валѿтьѿѿ попуѿту или ѿнова вѿтавать, а ни того, ни другого не хочетѿѿ... Словом, ничего не хочетѿѿ.";Kierkegaard
888;"Nunca se sabe qué desesperadas ideas pueden ocurrírsele a un hombre desesperado; en ocasiones, hasta los más tímidos y previsores se atreven, en tal estado, a los más audaces actos.";Søren Kierkegaard,
889;"This Socratic possibility of beginning wherever he might find himself — although when actualized in life it would as often as not go unnoticed by the multitude, for whom it always remained a mystery how they had come to discuss this or that subject, since their investigations more often began and ended at a stagnated horse pond; this steady Socratic perspective for which no subject was so compact that he could not instantly see the Idea in it — and this not hesitatingly but with immediate certainty, yet also having a practised eye for the apparent abbreviations of perspective and so did not draw the object to him surreptitiously, but simply retained the same ultimate prospect while it emerged step by step for the listener and onlooker; this Socratic parsimony which formed such a biting opposition to the empty noise and undigested fodder of the Sophists — all this is what one must wish that Xenophon had let us feel in Socrates. And what a life would thereby have been depicted when in the midst of the busy labour of the artisans, the braying of the pack animals, one had seen the divine web which Socrates worked into the very fibre of existence.";Søren Kierkegaard,
890;(The most painful state of being is remembering the future.);Søren Kierkegaard
891;"In the old days they said, What a pity things don’t go on in the world as the parson preaches — perhaps the time is coming, especially with the help of philosophy, when they will say, Fortunately things don’t go on as the parson preaches;";Søren Kierkegaard,
892;"The call to find the way again by seeking out God in the confession of sins is always at the eleventh hour. Whether you are young or old, whether you have sinned much or little, whether you have offended much or neglected much, the guilt makes this call come at the eleventh hour. The inner agitation of the heart understands what remorse insists upon, that the eleventh hour has come. For in the sense of time, the old man’s age is the eleventh hour; and the instant of death, the final moment in the eleventh hour.";Søren Kierkegaard,
893;Kierkegaard says: An ethic which ignores sin is an absolutely idle science.;Søren Kierkegaard,
894;Consequently, for us light-minded and unstable human beings there is sheer fear and trembling in this thought of God's changelessness;Søren Kierkegaard,
895;…to have a self, to be a self, is the greatest concession made to man, but at the same time it is eternity’s demand upon him.;Søren Kierkegaard,
896;"Something wonderful has happened to me. I was carried up into the seventh heaven. There all the gods sat assembled. By special grace I was granted the favor of a wish. ""Will you,"" said Mercury, ""have youth, or beauty, or power, or a long life, or the most beautiful maiden, or any of the other glories we have in the chest? Choose, but only one thing."" For a moment I was at a loss. Then I addressed myself to the gods as follows: ""Most honorable contemporaries, I choose this one thing, that I may always have the laugh on my side."" Not one of the gods said a word, on the contrary, they all began to laugh. Hence, I concluded that my request was granted, and found that the gods knew how to express themselves with taste; for it would hardly have been suitable for them to have answered gravely: ""It is granted thee.";Søren Kierkegaard,
897;Oh, to what degree human beings would become—human and lovable beings—if they would become single individuals before God!;Søren Kierkegaard,
898;"There is a loss that is eternally irreparable; thus eternity—even more frightful—far from wiping out the recollection of what is lost, is an eternal recollection of what is lost!";Søren Kierkegaard,
899;Anxiety may be compared with dizziness. He whose eye happens to look down into the yawning abyss becomes dizzy. But what is the reason for this? It is just as much in his own eyes as in the abyss . . . Hence, anxiety is the dizziness of freedom.;Søren Kierkegaard
900;At digte sig ind i en pige er en kunst, at digte sig ud af hende er et mesterstykke.;Søren Kierkegaard
901;"El azar propicio aparece tan rara vez que cuando se presenta o se encuentra, hay que saberlo agarrar con toda la fuerza; el seducir a una muchacha no es un arte, pero sí lo es, ¡y cómo!, saber encontrar a una muchacha que merezca que se la seduzca.";Søren Kierkegaard,
902;God is love;Søren Kierkegaard,
903;I will say that this is an adventure that every human being must go through – to learn to be anxious…Whoever has learned to be anxious in the right way has learned the ultimate.;Søren Kierkegaard
904;Aşa cum filozofia începe cu îndoiala, o viaţă care să poată fi numită umană începe cu ironia.;Søren Kierkegaard,
905;How then did Abraham exist? He believed. This is the paradox which keeps him upon the sheer edge and which he cannot make clear to any other person, for the paradox is that he as the individual puts himself in an absolute relation to the Absolute.;Søren Kierkegaard,
906;"Wiederholung und Erinnerung sind die gleiche Bewegung, nur in entgegengesetzter Richtung; denn dasjenige, woran man sich erinnert, ist gewesen, wird rückwärts wiederholt, während die eigentliche Wiederholung eine Erinnerung in vorwärtiger Richtung ist.";Søren Kierkegaard
907;"Remember, one lives only once; if it is neglected, if you do not come to suffer, if you avoid it—it is eternally irreparable";Søren Kierkegaard,
908;Once you have ventured the decisive act, you are at odds with the life of this world. You come into collision with it, and because of this you will gradually be brought into such tension that you will then be able to become certain of what Christ taught. You will begin to understand that you cannot endure this world without having recourse to Christ. What else can one expect from following the truth?;Søren Kierkegaard,
909;Anxiety is a response to the awareness of one’s freedom, of one’s power to gaze into the yawning abyss of possibilities, and through an act of choice actualize one of those potentialities. It is a response to the recognition that one is free to choose from possibilities, and therefore ultimately responsible for oneself and one’s future. This awesome sense of freedom and responsibility is apprehended as simultaneously attractive and repulsive, an ambivalence Kierkegaard called dread.;Søren Kierkegaard
910;Cuando una muchacha no despierta en nosotros desde la primera mirada una impresión tan viva que cree una imagen ideal de sí misma, generalmente no es digna de que nos tomemos el trabajo de buscarla en la realidad. Pero si despierta en nosotros esa imagen, pese a nuestra experiencia, nos sentimos dominados y vencidos por una desconocida fuerza.;Søren Kierkegaard,
911;it is not worth while to remember that past which cannot become a present.;Søren Kierkegaard,
912;"Obtener lo más hermoso es siempre difícil; lograr lo interesante, en cambio, es sencillo. Pero siempre es conveniente acercarse lo más posible; ése es el verdadero deleite y no llego a comprender que goce buscan los otros en su lugar. La simple posesión es algo vulgar y resultan mezquinos los recuerdos de que se sirven esos enamorados: no vacilan en emplear el dinero, el poder, la influencia ajena y aun los narcóticos. ¿Qué placer puede brindar a un amor si no contiene en sí mismo el abandono absoluto de una de las partes? Siempre es preciso el espíritu y el espíritu falta comúnmente a esa clase de enamorados.";Søren Kierkegaard,
913;Historiallisissa kysymyksissä suurinkin mahdollinen varmuus on vain likiarvo.;Søren Kierkegaard,
914;To despair over oneself, in despair to will to be rid of oneself—this is the formula for all despair.;Søren Kierkegaard
915;Livet forstås baglæns, men må leves forlæns.;Søren Kierkegaard,
916;É proprio caratteristico di quelle che si chiamano individualità infelici di aggrapparsi tenacissimamente a se stesse, tanto che nonostante tutte le loro sofferenze, per nessuna ragione al mondo vorrebbero essere degli altri. Ciò ha il suo motivo nel fatto che queste individualità sono molto vicine alla verità e sentono I’eterno valore della personalità, non nella sua benedizione, ma nel suo tormento. Anche se devono rinunciare alla gioia, preferiscono tuttavia rimanere se stessi.;Søren Kierkegaard,
917;Järjestelmään liittyy sulkeutuvuus, mutta olemassaolo on jotakin täsmälleen päinvastaista.;Søren Kierkegaard,
918;"The truth is: to become a Christian is to become, humanly speaking, unhappy for this life; the proportion is: the more you involve yourself with God and the more he loves you, the more you will become, humanly speaking, unhappy for this life, the more you will come to suffer in this life";Søren Kierkegaard,
919;I feel as a chessman must when the opponent says of it: that piece cannot be moved.;Søren Kierkegaard,
920;Pese a todo, el Dios del Amor es ciego y cuando se pone esmero, no es difícil engañarlo. El verdadero arte reside en adquirir la perceptibilidad emotiva mayor que se pueda, saber qué impresión se causa y cuál es la que se percibe de una muchacha. De este modo, se puede estar enamorado de muchas mujeres a la vez, puesto que se ama en grado distinto las distintas cualidades que cada una posee. Es muy poco amar a una sola, amarlas a todas se considera superficial, pero conocerse uno mismo y amar a todas las que se pueda, de tal manera que el alma se alimente, mientras la conciencia lo abarca todo, ¡ese es el placer, esa es la vida!;Søren Kierkegaard,
921;Historiassa kaikki ymmärretään jälkikäteen ja sen vuoksi unohdetaan, että kuolleet kerran elivät.;Søren Kierkegaard,
922;That instant he dies – for one who does not understand that the whole power of the spirit is required for dying, and that the hero always dies before he dies, that man will not get so very far with his conception of life.;Søren Kierkegaard,
923;Petoksen olemassaolo on samalla alituinen mahdollisuus totuuden näkemiseen.;Søren Kierkegaard,
924;"quien posee las riquezas de este mundo es dueño de ellas, sin que importe la forma en que las consiguió. Pero en el mundo del espíritu no ocurren las cosas del mismo modo. Impera en él un orden eterno y divino; no llueve allí del mismo modo sobre justos e injustos, ni brilla allí el mismo sol sobre buenos y malos. En el mundo del espíritu es válido el proverbio de que sólo quien trabaja come; sólo quien conoció angustias reposa; sólo quien desciende a los infiernos salva a la persona amada, y sólo quien empuña el cuchillo conserva a Isaac.";Søren Kierkegaard,
925;"I have a secret to confide to you, my confidante. Who should I confide it to? To Echo? She would betray it. To the stars? They are cold. People? They do not understand. Only to you can I confide it, for you know how to safeguard it. There is a girl, more beautiful than my soul’s dream, purer than the light of the sun, deeper than the source of the ocean, more proud than the flight of the eagle―there is a girl―oh! bend your head to my ear and my words, that my secret may steal into it―this girl I love more dearly than my life, for she is my life; more dearly than all my desires, for she is the only one; more dearly than all my thoughts, for she is the only one; more warmly than the sun loves the flower, more intensely than sorrow the privacy of the troubled mind; more longingly than the desert’s burning sand loves the rain―I cling to her more tenderly than the mother’s eye to the child, more confidingly than the pleading soul to God, more inseparably than the plant to its root.―Your head grows heavy and thoughtful, it sinks down on your breast, your bosom rises to its aid―my Cordelia! You have understood me, you have understood me exactly, to the letter, not one jot have you ignored. Shall I stretch the membrane of my ear and let your voice assure me of this? Should I doubt? Will you safeguard this secret? Can I depend on you? One hears of people who, in terrible crimes, dedicate themselves to mutual silence. I have confided to you a secret which is my life and my life’s content. Have you nothing to confide to me, nothing so beautiful, so significant…?―Johannes de Silentio, from_Either/Or_";Søren Kierkegaard
926;Vain mustalaisilla ja rosvoilla ja huijareilla on tunnuslauseenaan, että sinne, missä kerran on käyty, ei pidä koskaan tulla toista kertaa.;Søren Kierkegaard,
927;Der Freiheit Inhalt, intellektuell gesehen, ist Wahrheit, und die Wahrheit macht den Menschen frei. Eben darum aber ist die Wahrheit ein Werk der Freiheit dergestalt, dass sie fort und fort die Wahrheit erzeugt.;Søren Kierkegaard,
928;Imitation, which corresponds to Christ as prototype, must be advanced, be affirmed, be called to our attention;Søren Kierkegaard,
929;Jos en tiedä omasta takaa, en tiedä lainkaan.;Søren Kierkegaard,
930;Ei ajattelu ole yhtään sen arvokkaampaa kuin mielikuvitus tai tunne, vaan niihin rinnastettavaa. Ajattelun ylivalta johtaa harhaan.;Søren Kierkegaard,
931;Better well hanged than ill wed.;Søren Kierkegaard
932;When you read God's Word, in everything you read, continually to say to yourself: It is I to whom it is speaking, it is I about whom it is speaking—this is earnestness, precisely this is earnestness;Søren Kierkegaard,
933;Intohimo ei merkitse sanoja.;Søren Kierkegaard,
934;Raskain rangaistus on nimenomaan muisto.;Søren Kierkegaard,
935;"I have only one expression for what I suffer – guilt; one expression for my pain – repentance; one hope before my eyes – forgiveness; and if I find this difficult, ah! I have but one prayer, I will throw myself to the ground and implore the eternal power that governs the world for one grace early and late, that I be allowed to repent. For I know only one sorrow which can bring me to despair and plunge everything down into it – the sorrow that repentance was a delusion, a delusion not in respect of the forgiveness it seeks, but in the accountability it presupposes.";Søren Kierkegaard,
936;Naisissa tapaa usein huumoria, mutta ei koskaan ironiaa.Puhdas naisellinen luonto pitää ironiaa jonkinlaisena julmuutena.;Søren Kierkegaard,
937;seems to me that Christian dogmatics must be an explication of Christ’s activity, the more so since Christ established no teaching but was active. He didn’t teach that there was a redemption for man, he redeemed men. A Muhammadan dogmatics (sit venia verbo)21 would be an explication of Muhammad’s teaching, but a Christian dogmatics is an explication of Christ’s activity.;Søren Kierkegaard,
938;A person in sorrow or distress knows why he sorrows or is distressed. If you ask a melancholic what reason he has for his condition, what it is that weighs him down, he will replay, 'I don't know, what it is, I cannot explain it.' (pp499);Søren Kierkegaard,
