S. No;Quotation;Author;;;;;;;;;;;;;;;;;;
1263;It is humble to admit that the struggle, even through no fault of oneâ€™s own, drags out so that every day has its evening, and because of oneâ€™s fault drags out in such a way that twilight sometimes falls on defeat. It is humble to admit that even the progress through life of the most honest contender is difficult, that even the person who walks his way with firm steps nevertheless does not walk with a heroâ€™s pace, indeed, that when the evening of life cools the contender after the long day there still is no opportunity for fanfare, since even the person who came closest to the goal does not arrive with the qualifications or the disposition for the rigors of a victory celebration but, weary and worn, desires a grave in which to rest and a blessed departure from here in peace.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1264;"Pride and cowardliness are one and the same because what is spoken under the name pride is ordinarily cowardliness. False pride conjures a high conception of oneâ€™s own worth. The proud person always wants to do the right thing, the great thing, and he is actually struggling not with people but with God, because he wants to do it with his own power; he does not want to sneak out of something, what he wants is to set the task as high as possible and then to finish it by himself, satisfied with his own consciousness and his own approval. The proud person must concentrate all his thought in order to see the right; he must will it, because he is too proud to admit that people could be in the right in opposition to him, even if no one could convince him of that.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1265;"Cowardliness is the most pleasant of all passions; it is not noisy and strident, but quiet and suggestive and yet lustful, it attracts all the passions to itself, since in its association with them it is extremely engaging, knows how to maintain a friendship with them, and buries itself deep in the soul like somnolent vapor of stagnant water, which pestiferous breezes and deceptive phantoms rise, while the vapor still remains. What cowardliness fears most is the making of a resolution, because a resolution always disperses the vapor for a moment. The power cowardliness prefers to conspire with is time, because neither time nor cowardliness finds that there is any reason to hurry.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1266;If the resolution is not the beginning and the beginning the resolution, then the final account can never be rendered, because in a certain sense there is none. If there is no resolution there will be no tower, however imaginary or however really splendid the estimate was! The good resolution is to will to do everything in oneâ€™s power, so serve it to the utmost of oneâ€™s capability.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1267;"Every human being should not just learn by rote but learn very particularly, that he is nothing-which some learn by recognizing that what they are capable of is as good as nothing, others by recognizing that what they are not capable of is as good as nothing but is sufficient to make all their capability essentially nothing. The extensive enterprise can often be dazzling enough, especially when it is not only glorious and lauded by men but beneficial for many, and yet it is only a mirage; the resolution is not the good resolution until the person gives himself and everything up to the good, all his weaknesses, and leaves it up to God. The mirage is due to a personâ€™s becoming a worthy servant in his own eyes, an important instrument, but this is not the good resolution. The good resolution is satisfied with being the unworthy servant. Therefore every person is to test himself.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1268;Cowardliness prevents a person from acknowledging the good that he does do.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1269;"When one suffers misjudgment it is easy for one to become more self-important; he does not judge others but he wants his deeds to judge others and in a crafty way. He wants to build up a larger balance with God. He is not content with being an unworthy servant; he wants to be a little more than that.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1270;Is it not a good deed to restrain the arm of someone who wants to commit a misdeed, and is it not also a good deed to restrain the judgment of someone who wants to misjudge and cannot judge otherwise if acknowledgment of the good does not prevent it? Much wrong can be done to a person, but perhaps the worst is to come with belated repentance over a rash, unjust judgment that one nevertheless has oneself helped to occasion. As you can see, if this happens, if a person goes astray in this way by doing the good, he can thank himself and cowardliness, because God gives a spirit of power of love, and of self-control. [â€¦] Do not do the good ashamedly and with downcast eyes, as if you were walking a forbidden road, acknowledge it even though you are ashamed because you always feel your own imperfection and lower your eyes before God. Venture it in trust in God. Let each one acknowledge the good, renewed in his resolution, never led astray by any jugglery that it is more difficult to serve the good when one is misjudged. How would it help for it to be more difficult if it was also less true or for it to be more difficult for many if it was easier for him?;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1271;"A random word collects a crowd; the easily bought victory makes them enthusiastic, but the more profound explanation puts them off, and if the price is what it must be in relation to the highest, then mockery gives the signal for retreat and gives the retreat the appearance of a glorious victory. Does not mockery always gain the highest at a bargain price! And yet how despicable to want to think that the price of the highest and most sacred, just like the price of temporal things, should be determined by an accident, by the scarcity or the abundance of the commodity in the country. On the other hand, how upbuilding it is to consider that this is not the case and that someone who fancies that he has bought the highest at a low price is simply mistaken, since the price is always the same. How sure and cheerful and resolute the soul becomes in the thought that no price is too high when that which one is buying is the highest.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1272;"Without fail, the good has its reward, but if the â€œreward-hungryâ€ sensate person wanted to do the good for that reason, would he ever put it into practice? No, the soul must make a resolution in renunciation of all calculating, all sagacity and probability; it must will the good because it is good, and then it will certainly perceive that it has its reward; it must continue in duty because it is duty, the then it will thereby really feel the security; it must will to be reconciled with its opponent out of the unreckoning impulse of the heart, and then the good fight of reconciliation will also win for him the affection of the vanquished.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1273;If one person makes comprehensible to another something that is to his advantage in the temporal sense and the latter acts accordingly, then the former may be said to have brought it about. If, however, a person tries to make comprehensible to another his eternal well-being, this does not help straightaway in the same manner, inasmuch as the second still has not grasped the eternal on the basis of what the first said. If, however, he makes the eternal resolution and in it grasps the eternal, then he owes no one anything, not the speaker either.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1274;"No human being can give an eternal resolution to another or take it from him; If someone objects to that then one might just as well be silent if there is no probability of winning others, he thereby has merely shown that although his life very likely thrived and prospered in probability and everyone of his undertakings in the service of probability went forward, he has never really ventured and consequently has never had or given himself the opportunity to consider that probability is an illusion, but to venture the truth is what gives human life and the human situation pith and meaning, to venture is the fountainhead of inspiration, whereas probability is the sworn enemy of enthusiasm, the mirage whereby the sensate person drags out time and keeps the eternal away, whereby he cheats God, himself, and his generation: cheats God of the honor, himself of liberating annihilation, and his generation of the equality of conditions.""";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1275;A person can wrong another human being with his prayer, and prayer in this manner is a terrible weapon between man and man, perhaps the most pernicious. The strong man is warned not to misuse his power against the weak, but the weak man is also warned not to misuse the power of prayer against the strong. It may well be that a tyrant who misused his power, a deceiver who misused his shrewdness, never perpetrated as atrocious a wrong as the one who cowardly and slyly prayed in the wrong place, prayed in order to advance his will, flung himself in to the weakness of prayer, into imploring misery, in order to shatter another person.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1276;"Then the Comforter comes with the explanation; then he makes everything new, strips the sufferer of his mourning apparel and gives him a new heart and an assured spirit. It may, however, take time.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1277;The struggle goes on for an explanation, and prayer is the means by which the explanation will correspond to the way he prays about it. One person struggles with all his might against the explanation that would make himself guilty-no, it was all dispensation providence, all from God in order to test, to purify, to try the lover. Another struggles in order that the explanation may explain his guilt to him, so that the passage of freedom will not seem an illusion, but that the chasmic separation of guilt may make the blessedness of reconciliation all the more inward. One person asks that the explanation will unite him to the race and that the explanation will lie in the fate common to all, which is meaningful for the whole, another that the explanation will consider him outside the relation of others in order to select him for solitary pain, but also for solitary election.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1278;"Alas, the debt someone incurs at the gambling table, by throwing dice, in a game of cards, is called a debt of honor; I suppose that because it is meaningless in itself we have to give it an impressive name and then hurry to be rid of it. The debt to God is not a debt of honor like that, but it is, nevertheless, an honor to be in debt to God. It is an honor not to owe fortune anything, but to owe God everything; not to owe fate anything, but to owe providence everything; not to owe caprice anything, but to owe a fatherliness everything.-In this way, he who prays aright struggles in prayer and is victorious in that God is victorious.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1279;Propositio: The question is asked in ignorance, by one who does not even know what can have led him to ask it.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1280;"How far does the Truth admit of being learned? (â€¦)For what a man knows he cannot seek, since he knows it; and what he does not know he cannot seek, since he does not even know for what to seek. Socrates thinks the difficulty through in the doctrine of Recollection, by which all learning and inquiry is interpreted as a kind of remembering; one who is ignorant needs only a reminder to help him come to himself in the consciousness of what he knows. Thus the Truth is not introduced into the individual from without, but was within him.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1281;I always reason from existence, not toward existence, whether I move in the sphere of palpable sensible fact or in the realm of thought. I do not for example prove that a stone exists, but that some existing thing is a stone. The procedure in a court of justice does not prove that a criminal exists, but that the accused, whose existence is given, is a criminal.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1282;"The God has thus made his appearance as Teacher (for we now resume our story), and has assumed the form of a servant. To send another in his place, one high in his confidence, could not satisfy him; just as it could not satisfy the noble king to send in his stead even the most trusted man in his kingdom. But the God had also another reason; for between man and man the Socratic relationship is the highest and truest. If the God had not come himself, all the relations would have remained on the Socratic level; we would not have had the Moment, and we would have lost the Paradox. The Godâ€™s servant-form however is not a mere disguise, but is actual; it is not a parastatic body but an actual body; and from the hour that in the omnipotent purpose of his omnipotent love the God become a servant, he has so to speak imprisoned himself in his resolve, and is now bound to go on (to speak foolishly) whether it pleases him or no.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1283;"If this fact has been naturalized, birth is no longer merely birth, but is at the same time a new birth, so that one who has never before been in existence is born anew -- in being born the first time. In the individual life the hypothesis of naturalization is expressed in the principle that the individual is born with faith; in the life of the race it must be expressed in the proposition that the human race, after the introduction of this fact, has become an entirely different race, though determined in continuity with the first. In that event the race ought to adopt a new name; for there is nothing inhuman about faith as we have proposed to conceive it, as a birth within a birth (the new birth); but if it were as the proposed objection would conceive it, it would be a fabulous monstrosity.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1284;"A good man wishes to serve humanity by presenting a probability-proof, so as to help it accept the improbable. He is successful beyond all measure; deeply moved, he receives congratulations and addresses of thanksgiving, not only from the quality, who know";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1285;"The projected hypothesis indisputably makes an advance upon Socrates, which is apparent at every point. Whether it is therefore more true than the Socratic doctrine is an entirely different question, which cannot be decided in the same breath, since we have here assumed a new organ: Faith; a new presupposition: the consciousness of Sin; a new decision: the Moment; and a new Teacher: the God in Time. Without these I certainly never would have dared present myself for inspection before that master of Irony, admired through the centuries, whom I approach with a palpitating enthusiasm that yields to none. But to make an advance upon Socrates and yet say essentially the same things as he, only not nearly so well -- that at least is not Socratic.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1286;"In the scholarly world much is made of classifying literature and assigning the writing of each individual author to its proper place in the age and the writing of the age and in that of the human race. Yet no one thinks about what might be gained if one or another literary type could be trained to read only prologues, but to do it so thoroughly that he would begin with the earliest times and advance through all the centuries down to our own day. Prologues are characterized by the accidental, like dialects, idioms, colloquialisms; they are dominated by fashion in a way entirely different from the way works are-they change like clothing.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1287;By paying attention to the opinion of the visible reading public and of the usual reviewers, one falls into the most fatuous confusion.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1288;For the cultured it is truly too little to have to deal with an individual human being, even though that human being is himself. He does not want to be disturbed when he is to be built up, does not want to be reminded of all the trifles, of individuals, of himself, because to forget all this is precisely the upbuilding. The life of the congregation, the grand definition of the system, the purely human-all of which he does not tempt the individual to think about himself or want to finish something, but builds him up only by his thinking it over-are the subject for consideration in the present work. It is again this totality toward which it strives. The cultured person thus seeks the congregation, to call to mind a word of the poet to whom the present devotional work is so very much indebted and whom I do myself the honor of naming as the authority and as the chosen bard of the cultured, the pondering Professor Heiberg.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1289;does not philosophy teach that if the infinite is thought outside the finite, then both become finitudes? Is it not repeated again and again: truth is the criterion of itself and of the false? Then if philosophy excludes something it renders itself finite. In order to prevent this, it must be willing to explain itself more specifically with regard to my obtuseness and what constitutes it.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1290;when the philosopher becomes blessed through his philosophy, this is an accidental blessedness. There is, then, something higher than philosophy. It is higher in that it includes me and similar bunglers. If this is so, then the question is: will philosophy continue to be called the absolute? But if it is not the absolute, then it must be able to state its boundary. If I wanted to be a poet, the esthetician would certainly instruct me about which capacities are required for that. I would then perceive that I am not a poet and would accept my fate. If, on the other hand, poetry wanted to claim to be the absolute, then it would not dare to exclude me, because the absolute cannot be anything that is not common to all.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1291;Each generation has its own task and need not trouble itself unduly by being everything to previous and succeeding generations. Just as each dayâ€™s trouble is sufficient for the day, so each individual in a generation has enough to do in taking care of himself and does not need to embrace the whole contemporary age with his paternal solicitude or assume that era and epoch begin with his book, and still less with the New Yearâ€™s torch of his promise or with the intimations of his farseeing promises or with the referral of his reassurance to a currency of doubtful value. Not everyone who is stoop-shouldered is an Atlas, nor did he become such by supporting a world. Not everyone who says Lord, Lord, shall enter the kingdom of heaven. Not everyone who offers himself as surety for the whole contemporary age proves by such action that he is reliable and can vouch for himself. Not everyone who shouts Bravo, schwere, Noth, Gottblitz, bravissimo has therefore understood himself and his admiration.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1292;In logic, no movement must come about, for logic is, and whatever is logical only is. The external expression for the logical is what the Eleatics through a misunderstanding transferred to existence: nothing comes into being, everything is.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1293;The Genesis story presents the only dialectically consistent view. Its whole content is really concentrated in one statement: Sin came into the world by a sin. Were this not so, sin would have come into the world as something accidental, which one would do well not to explain. The difficulty for the understanding is precisely the triumph of the explanation and its profound consequence, namely, that sin presupposes itself, that sin comes into the world in such a way by the fact that it is, it is presupposed.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1294;One who has properly occupied himself with psychology and psychological observation acquires a general human flexibility that enables him at once to construct his example which even though it lacks factual authority nevertheless has an authority of a different kind. The psychological observer ought to be more nimble than a tightrope dancer in order to incline and band himself to other people and imitate their attitudes, and his silence in the moment of confidence should be seductive and voluptuous, so that what is hidden may find satisfaction in slipping out to chat with itself in the artificially constructed nonobservance and silence.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1295;The concept of race is too abstract to allow the positing of so concrete a category as sin, which is posited precisely in that the single individual himself, as the single individual, posits it. Thus sinfulness in the race becomes only a quantitative approximation.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1296;If a person does not first make clear to himself the meaning of â€œself,â€ it is of no use to say of sin that it is selfishness. Only when the concept of the particular is given can there be any talk of selfishness, however, no science can say what the self is without stating it quite generally. And this is the wonder of life, that each man who is mindful of himself knows what no science knows, since he knows who he himself is, and this is the profundity of the Greek saying know yourself, which too long has been understood in the German way as pure self-consciousness, the airiness of idealism.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1297;Man is a synthesis of psyche and body, but he is also a synthesis of the temporal and the eternal. In the former, the two factors are psyche and body, and spirit is the third, yet in such a way that one can speak of a synthesis only when the spirit is posited. The latter synthesis has only two factors, the temporal and the eternal. Where is the third factor? And if there is no third factor, there really is no synthesis, for a synthesis that is a contradiction cannot be completed as a synthesis without a third factor, because the fact that the synthesis is a contradiction asserts that it is not. What, then, is the temporal?;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1298;Spiritlessness can say exactly the same thing that the richest spirit has said, but it does not say it by virtue of spirit. Man qualified as spiritless has become a talking machine, and there is nothing to prevent him from repeating by rote a philosophical rigmarole, a confession of faith, or a political recitation. Is it not remarkable that the only ironist and the greatest humorist joined forces in saying what seems the simplest of all, namely, that a person must distinguish between what he understands and what he does not understand.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1299;There is only one proof of spirit and that is the spiritâ€™s proof within oneself. Whoever demands something else may get proofs in superabundance, but he is already characterized at spiritless.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1300;Life offers sufficient phenomena in which the individual in anxiety gazes almost desirously at guilt and yet fears it. Guilt has for the eye of the spirit the fascinating power of the serpentâ€™s glance.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1301;"Nay, truthâ€”which abhors also this untruth of aspiring after broad dissemination as the one aimâ€”is not nimble on its feet. In the first place it cannot work by means of the fantastical means of the press, which is the untruth; the communicator of the truth can only be a solitary individual. And again the communication of it can only be addressed to the individual.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1302;The demonstration of the existence of God is something with which one learnedly and metaphysically occupies oneself only on occasion, but the thought of God forces itself upon a man on every occasion. What is it that such an individuality lacks? Inwardness.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1303;"If a human being were a beast or an angel, he could not be in anxiety. Because he is a synthesis, he can be in anxiety; and the more profoundly he is in anxiety, the greater is the manâ€”yet not in the sense usually understood, in which anxiety is about something external, about something outside a person, but in the sense that he himself produces the anxiety. Only in this sense can the words be understood when it is said of Christ that he was anxious unto death, as well as the words spoken by Christ to Judas: What you are going to do, do quickly.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1304;It may be judged how important is The Concept of Dread from the fact that besides the German translation there are two translations in French and one in Spanish. It is the first time I have had the pleasure of comparing four translations with the original text. It is hard on the eyes to keep five texts in view when I am making my translation, but it is interesting. I soon discovered to my chagrin that the Spanish translation was made, not from the Danish, but from Schrempfâ€™s translation, and therefore could be discarded. The translator had not emulated the noble example of Don Miguel de Unamuno, who said in one of his essays, â€œI learned the language for the sake of reading Ibsen and was rewarded by reading Kierkegaard.â€ Because this translator was only a hack hired by a publisher, his name is not given. But of the French translations, which were both published in 1935 and are therefore entirely independent, it would be churlish of me to say that they are not very good, seeing that I have profited much by both of them.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1305;â€¦ this little book [â€¦] seeks that single individual whom I with joy and gratitude call my reader, or it does not even seek him. Unaware of the time and the hour, it quietly waits for that right reader to come like the bridegroom and to bring the occasion along with him. Let each do a share-the reader therefore more.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1306;"Father in heaven, how well we know that seeking always has its promise; how much the more, then, seeking you, the giver of all the promises and of all good gifts! How well we know that the seeker does not always need to wander out into the world, because the more holy that is which he seeks, the closer it is to him, and if he seeks you, O God, you are closest of all to him! But we also know that seeking always has its toil and its spiritual trial-how much more, then, the terror in seeking you, you Mighty One!";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1307;Whoever says that this stillness does not exist is merely making noise.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1308;If anyone has the task of preaching or teaching others about their guilt, of teaching-something that this discourse, which is without authority, does not do-he does have the consolation that the purest heart is precisely the one most willing to comprehend his own guilt most deeply.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1309;Alas, although there come to be more and more who know so very much, experienced people are becoming more and more rare!;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1310;"The wedding ceremony is like a wreath of eternity, but love weaves it, and duty says it must be woven; and loveâ€™s delight is to weave it, and duty says it must be woven-every day from the flower of the moment. Here eternity is not finished with time, but the covenant is eternityâ€™s beginning in time; the eternal resolution and the duty for eternity must remain with the wedded pair in the union of love through time, and there is be celebration at its remembrance and power in its recollection and hope in its promise.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1311;Death does not have the power to create unhappiness;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1312;"There is a government loan officer where the poor can go. The indigent person is helped, but do the poor have a joyful conception of this loan office? Likewise, there perhaps are marriages that seek God only in adversity, alas, and seek him as a loan office; and anyone who only then seeks him always runs this danger. Would such a late resolution, which even though worthy is still not bought at the last moment without shame and without great danger-would it be more beautiful and wiser than the first resolution of marriage?";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1313;The person who is without God in the world soon becomes bored with himself-and expresses this haughtily by being bored with all life, but the person who is in fellowship with God indeed lives with the one whose presence gives infinite significance to even the most insignificant.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1314;Time also is a good.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1315;Earnestness understands the same thing about death but understands it in a different way. It understands that death makes all equal, and this it has already understood, because earnestness has taught it to seek before God the equality in which all are able to be equal.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1316;See, one can have an opinion about remote events, about a natural object, about nature, about scholarly works, and about another human being, and so on about much else, and when one expresses this opinion the wise person can decide whether it is correct or incorrect.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1317;"What a splendid occupation to prepare a secret for oneself, how seductive to enjoy it, and yet at times how precarious to have enjoyed it, how easy for it to miscarry for one. In other words, if someone believes that a secret is transferable as a matter of course, that it belongs to the bearer, he is mistaken, for the [riddle] â€œOut of the eater comes something to eatâ€ is valid here; but if anyone thinks that the only difficulty entailed in enjoying it is not to betray it, he is also mistaken, for one also takes on the responsibility of not forgetting it. Yet it is even more disgusting to recollect incompletely and to turn oneâ€™s soul into a transit warehouse for damaged goods.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1318;When memory is refreshed again and again, it enriches the soul with a mass of details that distract recollection.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1319;When I now think of this, it seems almost absurd to me that five such people planned a banquet. Most likely nothing would have come of it had not Constantin Constantius been along.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1320;How rich is language in the service of desire in comparison with language when it describes actuality.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1321;if love is ludicrous, it is just as ludicrous whether I find a princess or a servant girl;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1322;What a strange invention is marriage! Is it something pagan or something Christian, or something sacred or something secular, or something civil or a little of everything?;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1323;I shall speak in praise of woman. Just as the person who is supposed to talk about the divine must be inspired by the divine in order to be able to talk worthily and therefore is taught what he is to say by the divine himself, so it is also with speaking about woman. Woman, even less than the god, is a whim from a manâ€™s brain, a daydream, something one hits upon all by oneself and argues about pro et contra. No, only from her herself does one learn to talk about her.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1324;He jumped in through the window, and just as he was jumping out, the others, who had been looking at him, were standing nearby. Triumphantly holding some papers in his hands, he shouted, â€œA manuscript by His Honor the Judge. If I have published his others, it is no more than my duty to publish this also.â€ Who am I? I am not worth asking about, for I am the least of all, and people make me very bashful by asking this question. I am pure being and thus almost less than nothing. I am the pure being and thus almost less than nothing.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1325;"My dear reader, if you do not have the time and opportunity to take a dozen years of your life to travel around the world to see everything a world traveler is acquainted with, if you do not have the capability and qualifications from years of practice in a foreign language to penetrate to the differences in national characteristics as these become apparent to the research scholar, if you are not bent upon discovering a new astronomical system that will displace both the Copernican and the Ptolemaic-then marry; and if you have time for the first, the capability for the second, the idea for the last, then marry also.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1326;Only the divine justice of marriage is able continually to give like for like.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1327;"A positive resolution has only one risk-not to be true to itself; a negative resolution always has a double danger: not to be true to itself, which resembles the danger in the positive resolution with the one difference that all this faithfulness is without reward, is a faded glory and as barren as a bachelorâ€™s life; and then the second risk-whether all this faithfulness whereby one is true to oneself in oneâ€™s negative resolution is not a deviation that for all its faithfulness is eventually rewarded with repentance.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1328;In that little book [On the Nobility and Excellence of the Female Sex, and the Superiority of the Same over the Male Sex, by Heinrich Cornelius Agrippa, 1486â€“1535] it is adduced as proof that in Hebrew woman is called Eve (life), man is called Adam (earth) â€“ ergo. Something like this is excellent as a jest in an exchange of words in which everything is absolutely decided and signed and sealed with both the notary publicâ€™s seal and Godâ€™s. So it is also when the author cites in another demonstration that when a woman falls into the water she floats on top whereas a man, if he falls into the water, sinks-ergo. This demonstration lends itself to other uses, which helps explain the fact that so many witches were burned in the Middle Ages. It is a few years since I read that little book, but it was highly amusing to me. The most comical things in the natural sciences and philology appear in the most naÃ¯ve way.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1329;Is an author less rich in ideas because ordinary observation finds nothing, while the reader who has made him his sole study nevertheless discovers an ever-greater wealth? Is it a perfection in human works of art that they look best at a distance? Is it an imperfection in the meadow flower, as in all the works of God, that under microscopic scrutiny it becomes lovelier and lovelier, more and more exquisite, more and more delicate?;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1330;"Nowadays woman is continually characterized in the highest terms, in the most flattering phrases, up to, indeed, far beyond the fantastic. Everything that is great in life is ascribed to her; on this point poetry and gallantry agree.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1331;A resolution must be added to falling in love. But a resolution presupposes reflection, but reflection is immediacyâ€™s angel of death. So it stands, and if it was right that reflection should attack falling in love, then there will never be a marriage. But that is precisely what it should not do-indeed, what is more, even prior to and simultaneously with this process, which through reflection comes to a resolution, there is the negative resolution that fends off any reflection of this nature as a spiritual temptation. While reflectionâ€™s destroying angel of death ordinarily goes about calling for death to the immediate, there is still one immediacy it allows to stand-the immediacy of falling in love, which is a wonder.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1332;The religious abstraction desires to belong to God alone;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1333;Importunity toward God is a kind of impertinent camaraderie, even if he himself does not understand it that way. He can even be truly humble, but in the very same way, humanly speaking, a subordinate can have the most loyal enthusiasm for his king and be far superior to those who are neither hot nor cold but are numbers and cattle, but yet when he seeks an audience with the king he can wish to be permitted to enter through a door different from the one assigned to all subjects. To me it seems that there must be something terrible about his being turned away and hearing those words: The other way, then we shall see what can be done.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1334;"What gives the lake an even more inclosed look is that the quagmire is thickly overgrown with reeds; indeed, there is nothing like it in Denmark, at least so says my friend the naturalist. Only in one place has a little waterway been opened up; here, there is a flat-bottomed boat, in which we two, he on behalf of science and I on behalf of friendship and curiosity, poled ourselves out. With effort we brought the boat out, for the channel has hardly a foot of water.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1335;The naturalist sat totally absorbed in his work, asking just once if I had found anything, a question that did not seem to expect a reply since he quite appropriately did not regard my fishing as being on behalf of science. Well, I had not found what he was searching for, either, but something totally different. And so each of us sat in his end of the boat, each one occupied with his find, he for the sake of science, and I for the sake of friendship and curiosity.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1336;My father was married, and he was the most depressed person Iâ€™ve known.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1337;Why do I feel happier in the distance of possibility?;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1338;A year ago today. Is this how it is to be engaged? I knew what it is to be in love, that I knew-but this new thing, to be convinced that the object of love is secured, that she is mine, mine forever. Is this the way it is to be a mother? wailed Rachel when the twinsâ€™ struggle began in her womb, and many a person presumably has said this to himself when he obtained what he craved: Is this the way it is? And is it not as if there were two natures struggling within me: have I become ten years older or have I become ten years younger?;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1339;"Spiritually I shall always be able to be something for her. We shall then, both of us, grow older; there indeed comes a time when youth does not crave in the same way, and then in a distinctive sense our love will have the years ahead of it. Or is, then, the most enviable love that whose most beautiful was when the lovers could sweep out onto the floor in a waltz? She is reserved, quiet, entirely calm; when someone is present, she is as cheerful as ever.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1340;For what is it to have spirit but to have will, and what is it to have will but to have it beyond all measure, since the person who does not have it beyond all measure but only to a certain degree does not have it at all.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1341;With a sword hanging over my head, in peril of my life, I discover the religious crisis with a primitivity such as if I had not known of them before, with such a primitivity that if they had not been I would have to discover them.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1342;It is comic that a mentally disordered man picks up any piece of granite and carries it around because he thinks it is money, and in the same way it is comic that Don Juan has 1,003 mistresses, for the number simply indicates that they have no value. Therefore, one should stay within oneâ€™s means in the use of the word â€œlove.â€;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
